sku,marca,TA,CO,DV,GE,LP,RA,LA,CF,IH,CH,NT
PA-CUL-09,Partagas,,,87.0,,,,,,155.0,127.0,
RJ-COR-25,Romeo y Julieta,110.0,,,,,,,,175.0,137.0,
MC-N3-25,Montecristo,188.0,,,,,,,,365.0,367.0,
MC-OJU-20,Montecristo,106.0,,,,,,,,230.0,236.0,
HDM-HSJ-10,Hoyo de Monterrey,,,,,240.0,,,,,255.0,
PA-MF-25,Partagas,75.0,,,,,,,,199.0,199.0,
FON-COS-25,Fonseca,107.0,,,,,,,,,243.0,
HU-EPI-25,H Upmann,67.0,,,,,,,,,168.0,
MC-N5-10,Montecristo,44.0,,,,,,,,115.0,244.0,
FO-DEL-25,Fonseca,63.0,,,,,,,,175.0,,
HU-REG-25,H Upmann,,,,,199.0,,,,,593.0,
HU-CJ-25,H Upmann,,,,,254.0,,,,,218.0,
CO-CS-100,Cohiba,,,,,,,,,200.0,,
RG-PEX-25,Rafael Gonzalez,,,,,110.0,,,,120.0,120.0,
HDM-HDD-25,Hoyo de Monterrey,104.0,,,,,,,,186.0,134.0,
MON-MONSHO-100,Montecristo,,,,,,,,,132.0,,
RJ-RO1-15,Romeo y Julieta,75.0,,,,,,,,,266.0,
RJ-RO1-10,Romeo y Julieta,55.0,,,,,,,,75.0,178.0,
RJ-RO3-15,Romeo y Julieta,65.0,,,,,,,,,159.0,
O-MEDTOR-10,Oliva,,,,103.0,,,,,120.0,113.0,
EPC-LHES-10,EP Carrillo,,,,90.0,,,,,,100.0,
DAV-DEMT-50,Davidoff,,,80.0,,,,,,135.0,,
DS-LPUSFFP-10,Drew Estate,,,,,,145.0,,,201.0,160.0,
AJF-BAML-10,AJ Fernandez,,,,,,,,80.0,,89.0,
AJF-EHR-20,AJ Fernandez,,,,,,,,107.0,148.0,107.0,
AJF-NWONR-21,AJ Fernandez,,,,,,,,106.0,,111.0,
AJF-NWCDR-20,AJ Fernandez,,,,,,,,105.0,,105.0,
AB-PCG-20,Alec Bradley,,,,,,,,99.0,,115.0,
AB-BMP-22,Alec Bradley,,,,,,,,90.0,140.0,108.0,
VEG-CEN-16,Vegueros,,,139.0,,,,,,188.0,191.0,
PLA-AFRI-10,Plasencia,,,,,,92.0,,,165.0,135.0,
DS-LPN9R-24,Drew Estate,,,,,,247.0,,,305.0,,
PLA-AFNIV-10,Plasencia,,,,,,99.0,,,198.0,170.0,
PLA-AFFV-10,Plasencia,,,,,,108.0,,,210.0,180.0,
